"No.","Time","Source","Destination","Protocol","Length","Info"
"1171","4.162372128","192.168.43.128","142.250.204.35","QUIC","76","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1172","4.163469084","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1173","4.163469192","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1174","4.163469210","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1175","4.163469227","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1176","4.163469244","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1177","4.163469261","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1178","4.163469278","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1179","4.163469294","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1180","4.163486949","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1181","4.163533415","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1182","4.167014822","192.168.43.128","142.250.204.35","QUIC","83","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1183","4.168549555","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1184","4.168549663","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1185","4.168549683","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1186","4.168787092","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1187","4.169748467","142.250.204.42","192.168.43.128","TCP","62","443  >  33112 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"1188","4.169767252","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"1189","4.169960395","192.168.43.128","142.250.204.42","TLSv1.3","1818","Client Hello (SNI=fonts.googleapis.com)"
"1190","4.170154233","142.250.204.42","192.168.43.128","TCP","62","443  >  33112 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"1191","4.170154368","142.250.204.42","192.168.43.128","TCP","62","443  >  33112 [ACK] Seq=1 Ack=1763 Win=64240 Len=0"
"1192","4.172118829","192.168.43.128","142.250.204.35","QUIC","78","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1193","4.172229413","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1194","4.172229505","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1195","4.172229568","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1196","4.172229614","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1197","4.172229663","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1198","4.172229710","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1199","4.172229757","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1200","4.172229802","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1201","4.172269913","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1202","4.172270123","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1203","4.172296555","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1204","4.173982077","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1205","4.173982130","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1206","4.173982149","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1207","4.173982185","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1208","4.173982203","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1209","4.173982220","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1210","4.173982238","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1211","4.173982256","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1212","4.174006169","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1213","4.174006241","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1214","4.174006267","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1215","4.174006293","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1216","4.174072406","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1217","4.175526369","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1218","4.175526485","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1219","4.175526504","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1220","4.175526521","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1221","4.175526537","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1222","4.175565333","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1223","4.175565361","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1224","4.175565378","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1225","4.175565412","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1226","4.175565429","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1227","4.175565445","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1228","4.175565464","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
